target_site,model,pair,split_index,refit_index,split_seed,seed_a,seed_b,n_train_pool,n_id,n_target,n_explanation,source_explanation_positive,target_explanation_positive,target_prevalence,id_auroc,target_auroc,delta_auroc,null_abs_delta_auroc,id_average_precision,target_average_precision,id_log_loss,target_log_loss,id_brier,target_brier,mean_abs_probability_refit_change,shift_energy_u2,same_model_sample_null_energy_u2,refit_sample_null_energy_u2,calibrated_excess_u2,paired_refit_l2,class_macro_shift_u2,class_macro_sample_null_u2,class_macro_refit_null_u2,class_macro_excess_u2,class_weighted_shift_u2,class_weighted_refit_null_u2,class_weighted_excess_u2,class0_shift_u2,class1_shift_u2,class0_refit_null_u2,class1_refit_null_u2,class0_n,class1_n,class_weighting_prevalence,class_weighting_scheme,reverse_shift_energy_u2,reverse_refit_sample_null_energy_u2,reverse_calibrated_excess_u2,symmetrized_calibrated_excess_u2,symmetry_gap_u2,shift_js,null_js,paired_excess_js,shift_rank_tau,null_rank_tau,shift_top5_jaccard,null_top5_jaccard,shift_sign_consistency,null_sign_consistency,source_mean_attribution_l1,target_mean_attribution_l1,delta_mean_attribution_l1,feature_domain_auc,explanation_domain_auc,shap_permutation_tau_id,shap_permutation_tau_target,max_additivity_error,silent_explanation_shift
Cleveland,logistic,0,0,0,20260729,20260740,20260741,431,186,303,79,48,36,0.4587458745874587,0.8667953667953668,0.814616599403404,-0.0521787673919628,0.0007239382239381,0.8792034460945162,0.7981396770337701,0.4467174313469242,0.5782521851343367,0.1355619311190594,0.1930880958362215,0.0719808811369959,0.0678643197630307,0.0175658341646944,0.0251199310324683,0.0427443887305624,0.1738040419973825,0.0882206865224877,-0.0033260539828079,0.0134144744680021,0.0748062120544856,0.08916361370438,0.0144782177492682,0.0746853959551118,0.0996489639670224,0.0767924090779531,0.0263070430369471,0.000521905899057,37,56,0.4587458745874587,target_prevalence,0.0390266681658753,0.0263197578392472,0.012706910326628,0.0277256495285952,0.0300374784039343,0.2254360457602066,0.2136526622808626,0.011783383479344,0.5897435897435896,0.6410256410256409,0.6666666666666666,1.0,0.7591684485224339,0.1489817809368092,3.627189299494117,4.806671561794872,1.1794822623007546,0.9520833333333334,0.9248958333333336,0.6923076923076922,0.4102564102564102,1.7763568394002505e-15,False
Cleveland,lightgbm,0,0,0,20260729,21260740,21260741,431,186,303,79,48,36,0.4587458745874587,0.8606418918918919,0.8253640989647307,-0.0352777929271611,0.0007239382239382,0.8790975157482186,0.8101446465519603,0.4853428174674751,0.5501218333969996,0.1539744533498707,0.1822227824537904,0.1095172852744033,0.0363590391810657,0.0050977132062298,0.0221759156780496,0.014183123503016,0.2092178065152777,0.0551204061323227,-0.0086372201176394,0.0015745030120469,0.0535459031202757,0.0522025225662293,0.0022691157995548,0.0499334067666744,0.0197556573112706,0.0904851549533748,0.0099932099966432,-0.0068442039725493,37,56,0.4587458745874587,target_prevalence,0.0490168397552477,0.0118385223089674,0.0371783174462803,0.0256807204746482,-0.0229951939432642,0.0711251474526951,0.1623261236073122,-0.091200976154617,0.9743589743589742,0.7948717948717947,1.0,1.0,0.5690810539016131,0.3225996111435666,4.54231914751727,4.609459115402319,0.0671399678850486,0.9700520833333334,0.8777604166666666,0.4102564102564102,0.3333333333333332,9.769962616701378e-15,False
Hungary,logistic,0,0,0,21260729,30260740,30260741,438,188,294,66,43,24,0.3605442176870748,0.8508445106805763,0.8513649136892815,0.0005204030087051,0.0196224540486834,0.8840934915726122,0.7811682406781986,0.4521391265504568,0.4582997391406559,0.1387876908507687,0.1453103626543437,0.1026600259609322,0.0677170888512826,0.0289646328167588,0.0340818107410142,0.0336352781102684,0.1867649620810203,0.0807623716425639,0.0053381058056919,0.0199172428800782,0.0608451287624857,0.0753141426499817,0.0239007354049873,0.0514134072449943,0.0612284774496471,0.1002962658354807,0.0341995209571916,0.0056349648029647,33,61,0.3605442176870748,target_prevalence,0.0593998112221845,0.041499574251606,0.0179002369705785,0.0257677575404235,0.0157350411396898,0.1044801232534263,0.2371944645514613,-0.132714341298035,0.7948717948717947,0.4615384615384614,0.6666666666666666,0.6666666666666666,0.4308529567604942,0.2915039859404809,4.721846224050598,4.515647345062291,-0.2061988789883067,0.921555367709214,0.918850380388842,0.7179487179487178,0.4102564102564102,1.3322676295501878e-15,True
Hungary,lightgbm,0,0,0,21260729,31260740,31260741,438,188,294,66,43,24,0.3605442176870748,0.8373075012419274,0.8568847852268165,0.0195772839848891,0.0076999503229011,0.8642251329970729,0.7637130324492164,0.5152706589878842,0.5261217127557722,0.1531693589835073,0.1686980443869757,0.1267452789484748,0.0496789099459217,0.032609789767095,0.043945465061399,0.0057334448845226,0.2504905129897423,0.0290220453397337,-0.0061921393962018,0.0121541361994331,0.0168679091403005,0.0284467802760842,0.009940953253928,0.0185058270221562,0.0269595096237222,0.0310845810557452,0.0042190656387195,0.0200892067601466,33,61,0.3605442176870748,target_prevalence,0.0719199417263577,0.0297552025853805,0.0421647391409771,0.0239490920127499,-0.0364312942564545,0.103894002899619,0.2102482128252047,-0.1063542099255856,0.7179487179487178,0.4358974358974358,0.6666666666666666,0.4285714285714285,0.3946735697797794,0.5735579786942707,5.3173643416460825,5.135371222683809,-0.1819931189622732,0.9373626373626374,0.8600169061707523,0.5384615384615383,0.0512820512820512,7.993605777301127e-15,False
Switzerland,logistic,0,0,0,22260729,40260740,40260741,557,240,123,83,41,78,0.934959349593496,0.892423084936454,0.7489130434782609,-0.143510041458193,0.0044447531078547,0.8842172710559887,0.974598081994986,0.4247270240637801,0.6293892720590024,0.1353443751591157,0.2152840990121836,0.0777688379758267,0.0448281164473905,0.0203503611453044,0.0314633895548687,0.0133647268925218,0.2004205089444805,0.0511531089607121,0.0254909031741253,0.0365028477028552,0.0146502612578568,0.0338807061097583,0.0168833747473977,0.0169973313623605,0.0710083010230234,0.0312979168984007,0.0590560736236147,0.0139496217820957,8,59,0.934959349593496,target_prevalence,0.0487554366661728,0.0230427474592087,0.025712689206964,0.0195387080497429,-0.0123479623144422,0.0936112410160166,0.2099292656537349,-0.1163180246377182,0.8205128205128204,0.6923076923076922,0.4285714285714285,0.6666666666666666,0.3894655044624719,0.1520952954479982,3.989555970104603,4.057679680373586,0.0681237102689831,0.9926470588235292,0.9926470588235292,0.7179487179487178,-0.0256410256410256,1.7763568394002505e-15,False
Switzerland,lightgbm,0,0,0,22260729,41260740,41260741,557,240,123,83,41,78,0.934959349593496,0.875824710049309,0.7945652173913044,-0.0812594926580045,0.0095145496215015,0.8673575045746477,0.9829819964007782,0.4650607817241687,0.4410059500777076,0.1422169886378994,0.1460091254522529,0.112461405182936,0.0720251094302539,0.0212928014698456,0.02937250457614,0.0426526048541139,0.2259196691499381,0.054883400239672,0.0271429013051692,0.0398689812660339,0.015014418973638,0.059704609892867,0.0257383214868353,0.0339662884060317,0.0493412620402047,0.0604255384391392,0.056112636900066,0.0236253256320018,8,59,0.934959349593496,target_prevalence,0.0669450581881062,0.0264765576023083,0.0404685005857978,0.0415605527199559,0.002184104268316,0.0824370999534758,0.1982558208649873,-0.1158187209115114,0.769230769230769,0.6923076923076922,0.6666666666666666,0.6666666666666666,0.2633081897104816,0.6320838544765313,5.001833389942342,4.556497743473028,-0.4453356464693137,0.9738754325259515,0.8780276816608996,0.5384615384615383,0.0,7.105427357601002e-15,False
VA Long Beach,logistic,0,0,0,23260729,50260740,50260741,504,216,200,87,44,65,0.745,0.8737889050844552,0.6881168574812476,-0.1856720476032075,0.0102889479550716,0.8813452417921326,0.8578036373120326,0.4829769239618898,0.7486680631245427,0.1414485696128166,0.2370840206056335,0.0769696626432616,0.0530057709642767,0.0173837481481287,0.0184158251080313,0.0345899458562454,0.1423430361031774,0.0364060170910249,0.0026537824400663,0.0082584996567857,0.0281475174342391,0.0345338807339947,0.0058010404150773,0.0287328403189173,0.0402267035339435,0.0325853306481062,0.0132737225990478,0.0032432767145237,51,54,0.745,target_prevalence,0.044825296604018,0.0191323988188064,0.0256928977852116,0.0301414218207285,0.0088970480710338,0.0881080691369203,0.2107754801223607,-0.1226674109854404,0.6923076923076922,0.6410256410256409,0.6666666666666666,0.6666666666666666,0.3957292609863214,0.2154074445858028,6.098033630789615,5.969628920100252,-0.1284047106893631,0.8966166858900422,0.9044982698961936,0.3076923076923076,0.0256410256410256,2.664535259100376e-15,False
VA Long Beach,lightgbm,0,0,0,23260729,51260740,51260741,504,216,200,87,44,65,0.745,0.8919660464717483,0.6874588761679169,-0.2045071703038313,0.0167195404269913,0.8961792419793428,0.8508592078813538,0.4475990011241478,0.6854748165138063,0.1382463549923826,0.2164673708196669,0.100059863184852,0.0367527783446962,0.0183243180995257,0.0191883141812302,0.017564464163466,0.1765278694234369,0.0384554239887016,-0.0013407520361256,0.008901614809488,0.0295538091792136,0.0217192308501413,0.0059886123742926,0.0157306184758487,0.0726109201898449,0.0042999277875582,0.014846517738458,0.0029567118805179,51,54,0.745,target_prevalence,0.0342758992088082,0.0223345690395834,0.0119413301692248,0.0147528971663454,0.0056231339942411,0.116517380251952,0.1763482632932127,-0.0598308830412607,0.846153846153846,0.6410256410256409,1.0,0.4285714285714285,0.6146581906071316,0.5120001616176765,5.612113766618713,5.400436865931816,-0.2116769006868972,0.8462898885044213,0.8281045751633987,0.6410256410256409,0.3589743589743589,9.325873406851317e-15,False
Cleveland,logistic,1,0,1,20260729,20260840,20260841,431,186,303,79,48,36,0.4587458745874587,0.8799469111969113,0.8468590980873838,-0.0330878131095274,0.0201496138996138,0.8981983212578338,0.8307445849219495,0.4277252896118475,0.5215070556747228,0.1297630790056843,0.1722517395477615,0.069311285739945,0.0410210247603564,0.001791798304633,0.0075325053785805,0.0334885193817758,0.1776654271905906,0.0846558828080781,0.011691333378512,0.0204505354847656,0.0642053473233125,0.0849736228276198,0.0215283486025673,0.0634452742250524,0.0885068918449232,0.080804873771233,0.0335136304725224,0.0073874404970087,37,56,0.4587458745874587,target_prevalence,0.0789214417580925,0.0170766212725637,0.0618448204855288,0.0476666699336523,-0.0283563011037529,0.1526785549754052,0.1846325155624859,-0.0319539605870806,0.769230769230769,0.7435897435897434,0.6666666666666666,0.6666666666666666,0.3592268932645817,0.3814077849349492,3.711747911839807,3.908476079951624,0.1967281681118171,,,,,1.7763568394002505e-15,False
Cleveland,lightgbm,1,0,1,20260729,21260840,21260841,431,186,303,79,48,36,0.4587458745874587,0.8599179536679536,0.8402351289699947,-0.0196828246979589,0.0125482625482625,0.8932917507025269,0.8252503669655293,0.4863924852306421,0.5285536475760283,0.1536238307014111,0.1729905217525464,0.1090959866185762,0.032096652015958,0.0040914883671607,0.0209549436494118,0.0111417083665461,0.250026499934707,0.0737233798518812,0.0106232174311595,0.0371353019285524,0.0365880779233288,0.0740271803390401,0.0384617840953068,0.0355653962437333,0.077405441756247,0.0700413179475154,0.0532122657896152,0.0210583380674896,37,56,0.4587458745874587,target_prevalence,0.0487807999709559,0.0115178650958356,0.0372629348751203,0.0242023216208332,-0.0261212265085741,0.0644920002505568,0.2233659415338595,-0.1588739412833026,0.846153846153846,0.6666666666666665,0.6666666666666666,0.4285714285714285,0.7099880850464204,0.6795226739579227,4.780510757000045,4.746254020494091,-0.034256736505954,,,,,7.549516567451064e-15,False
